"host","host_count","the_comment"
"catalog.data.gov",36078,"FGDC content not mapped to ISO. From Xpath: //attrdomv/edom "
"catalog.data.gov",27273,"FGDC content not mapped to ISO. From Xpath: //attrdomv/udom "
"catalog.data.gov",12827,"translated from eainfo/detailed to MD_CoverageDescription "
"catalog.data.gov",10074,"FGDC content not mapped to ISO. From Xpath: //enttyp "
"catalog.data.gov",9823,"FGDC content not mapped to ISO. From Xpath: //attrdomv/edom"
"catalog.data.gov",9216,"FGDC content not mapped to ISO. From Xpath: //enttyp"
"catalog.data.gov",8478,"FGDC content not mapped to ISO. From Xpath: //attrdomv/codesetd "
"catalog.data.gov",5023,"FGDC content not mapped to ISO. From Xpath: //attrdomv/udom"
"catalog.data.gov",3759,"translated from eainfo to MD_FeatureCatalogueDescription"
"catalog.data.gov",2723,"Other FGDC spatial reference elements not mapped to ISO from Xpath: //spref "
"catalog.data.gov",1790,"translated from eainfo to MD_FeatureCatalogueDescription "
"catalog.data.gov",1706,"FGDC content not mapped to ISO. From Xpath: //attrdomv/codesetd"
"catalog.data.gov",1619,"FGDC content not mapped to ISO. From Xpath: //spdoinfo/rastinfo/rasttype "
"catalog.data.gov",1045,"/horizsys/geograph mapped to MD_GridSpatialRepresentation "
"catalog.data.gov",523,"FGDC Content not mapped to ISO from Xpath: //spdoinfo/indspref "
"catalog.data.gov",457,"FGDC content not mapped to ISO. From Xpath: //spdoinfo/rastinfo/rasttype"
"catalog.data.gov",288,"translated from dataqual/cloud to MD_ImageDescription"
"catalog.data.gov",206,"translated from dataqual/cloud to MD_ImageDescription "
"catalog.data.gov",59,"FGDC content not mapped to ISO. From Xpath: //distinfo/stdorder/resdesc "
"catalog.data.gov",24,"Attribute Definition Source not translated: GHRSST Science Team (2010), The Recommended GHRSST Data Specification (GDS) Revision 2.0 Technical Specifications, available from the GHRSST International Project Office, http://www.ghrsst.org, pp 120. "
"catalog.data.gov",16,"Intermittent; Positional Accuracy "
"catalog.data.gov",16,"not applicable</edomvd> <edomvds>http://nhd.usgs.gov/NHDinGEO_FCodes_by_layer.pdf</edomvds> </edom> <edom> <edomv>46003</edomv> <edomvd>STREAM/RIVER: Hydrographic Category "
"catalog.data.gov",16,"Perennial; Positional Accuracy"
"catalog.data.gov",12,"not applicable</edomvd> <edomvds>same</edomvds> </edom> <edom> <edomv>46000</edomv> <edomvd>STREAM/RIVER: Feature type only: no attributes</edomvd> <edomvds>same</edomvds> </edom> <edom> <edomv>33400</edomv> <edomvd>CONNECTOR: Feature type only: no attributes</edomvd> <edomvds>same</edomvds> </edom> <edom> <edomv>33600</edomv> <edomvd>CANAL/DITCH: Feature type only: no attributes</edomvd> <edomvds>same</edomvds> </edom> "
"catalog.data.gov",5,"FGDC content not mapped to ISO. From Xpath: //distinfo/availabl/timeinfo/rngdates/enddate "
"catalog.data.gov",4,"not applicable</edomvd> <edomvds>same</edomvds> </edom> <edom> <edomv>46000</edomv> <edomvd>STREAM/RIVER: Feature type only: no attributes</edomvd> <edomvds>same</edomvds> </edom> <edom> <edomv>33400</edomv> <edomvd>CONNECTOR: Feature type only: no attributes</edomvd> <edomvds>same</edomvds> </edom> <edom> <edomv>33600</edomv> <edomvd>CANAL/DITCH: Feature type only: no attributes</edomvd> <edomvds>same</edomvds> </edom>"
"catalog.data.gov",2,"Attribute Definition Source not translated: http://jwocky.gsfc.nasa.gov/ "
"catalog.data.gov",2,"Attribute Definition Source not translated: http://www.cogsci.princeton.edu "
"catalog.data.gov",2,"Attribute Definition Source not translated: http://www.nodc.noaa.gov/SatelliteData/pathfinder4km/userguide.html "
"catalog.data.gov",2,"Entity Type Definition Source not translated: GHRSST and the US National Oceanographic Data Center "
"catalog.data.gov",2,"FGDC content not mapped to ISO. From Xpath: //distinfo/availabl/timeinfo/rngdates/enddate"
"catalog.data.gov",2,"WGS84 "
"catalog.data.gov",1,"LINE "
"catalog.data.gov",1,"Mean Sea Level, vertical units: Meters "
"catalog.data.gov",1,"POLYGON "
"catalog.data.gov",1,"RASTER&gt;</indspref> "
"coast.noaa.gov",36,"translated from dataqual/cloud to MD_ImageDescription"
"coast.noaa.gov",20,"Vertical Datum not mapped to ISO "
"coast.noaa.gov",14,"North American Datum of 1983 "
"coast.noaa.gov",13,"Ellipsoid, vertical units: Meters "
"coast.noaa.gov",6,"Entity Type Definition Source not translated: American Society for Photogrammetry and Remote Sensing "
"coast.noaa.gov",5,"Entity Type Definition Source not translated: Software Generated "
"coast.noaa.gov",5,"Geodetic Horizontal Datum not mapped to ISO "
"coast.noaa.gov",5,"World Geodetic System 1984 ellipsoid height, vertical units: meters "
"coast.noaa.gov",5,"World Geodetic System 1984 EPOCH 2000.0000 "
"coast.noaa.gov",4,"translated from dataqual/cloud to MD_ImageDescription "
"coast.noaa.gov",3,"srcscale: 1200 "
"coast.noaa.gov",2,"Entity Type Definition Source not translated: Software generated "
"coast.noaa.gov",1,"Attribute Definition Source not translated: Woolpert, Inc "
"coast.noaa.gov",1,"Ellipsoid, vertical units: meters "
"coast.noaa.gov",1,"Entity Type Definition Source not translated: Florida GIS Baseline Specification for Orthophotography and LiDAR V 1.2 "
"coast.noaa.gov",1,"Entity Type Definition Source not translated: Woolpert, Inc. "
"coast.noaa.gov",1,"NAD83 Ellipsoid, vertical units: feet "
"coast.noaa.gov",1,"North American Datum of 1983(CORS96) EPOCH 2003.0000 "
"coast.noaa.gov",1,"srcscale: 1200"
"coast.noaa.gov",1,"srcscale: 14400"
"coast.noaa.gov",1,"srcscale: 24000"
"coast.noaa.gov",1,"srcscale: 3000"
"data.doi.gov",800,"FGDC content not mapped to ISO. From Xpath: //attrdomv/udom "
"data.doi.gov",220,"FGDC content not mapped to ISO. From Xpath: //attrdomv/edom "
"data.doi.gov",196,"FGDC content not mapped to ISO. From Xpath: //attrdomv/codesetd "
"data.doi.gov",99,"FGDC content not mapped to ISO. From Xpath: //enttyp "
"data.doi.gov",66,"translated from eainfo/detailed to MD_CoverageDescription "
"data.doi.gov",55,"translated from eainfo to MD_FeatureCatalogueDescription"
"data.doi.gov",54,"FGDC content not mapped to ISO. From Xpath: //spdoinfo/rastinfo/rasttype "
"data.doi.gov",35,"Other FGDC spatial reference elements not mapped to ISO from Xpath: //spref "
"data.doi.gov",27,"/horizsys/geograph mapped to MD_GridSpatialRepresentation "
"data.doi.gov",15,"translated from eainfo to MD_FeatureCatalogueDescription "
"data.doi.gov",4,"FGDC Content not mapped to ISO from Xpath: //spdoinfo/indspref "
"data.doi.gov",1,"translated from dataqual/cloud to MD_ImageDescription"
"data.doi.gov",1,"translated from dataqual/cloud to MD_ImageDescription "
"data.noaa.gov",3045,"FGDC content not mapped to ISO. From Xpath: //attrdomv/udom "
"data.noaa.gov",533,"FGDC content not mapped to ISO. From Xpath: //attrdomv/edom "
"data.noaa.gov",512,"FGDC content not mapped to ISO. From Xpath: //enttyp "
"data.noaa.gov",385,"translated from eainfo to MD_FeatureCatalogueDescription"
"data.noaa.gov",370,"FGDC content not mapped to ISO. From Xpath: //spdoinfo/rastinfo/rasttype "
"data.noaa.gov",333,"Other FGDC spatial reference elements not mapped to ISO from Xpath: //spref "
"data.noaa.gov",327,"translated from eainfo/detailed to MD_CoverageDescription "
"data.noaa.gov",200,"/horizsys/geograph mapped to MD_GridSpatialRepresentation "
"data.noaa.gov",173,"FGDC content not mapped to ISO. From Xpath: //attrdomv/codesetd "
"data.noaa.gov",129,"translated from eainfo to MD_FeatureCatalogueDescription "
"data.noaa.gov",69,"translated from dataqual/cloud to MD_ImageDescription"
"data.noaa.gov",27,"FGDC content not mapped to ISO. From Xpath: //distinfo/stdorder/resdesc "
"data.noaa.gov",15,"translated from dataqual/cloud to MD_ImageDescription "
"data.noaa.gov",8,"FGDC Content not mapped to ISO from Xpath: //spdoinfo/indspref "
"data.noaa.gov",4,"FGDC content not mapped to ISO. From Xpath: //distinfo/availabl/timeinfo/rngdates/enddate "
"data.noaa.gov",1,"Geodetic Horizontal Datum not mapped to ISO "
"data.noaa.gov",1,"Unknown "
"www.ngdc.noaa.gov",12,"FGDC content not mapped to ISO. From Xpath: //enttyp "
"www.ngdc.noaa.gov",8,"translated from eainfo/detailed to MD_CoverageDescription "
"www.ngdc.noaa.gov",8,"translated from eainfo to MD_FeatureCatalogueDescription"
"www.ngdc.noaa.gov",4,"Mean Sea Level, vertical units: Meters "
"www.ngdc.noaa.gov",1,"Aggregration Criteria not mapped from FGDC "
