"protocol","the_year","num_responses"
"FGDC",1900,4
"FGDC",1964,1
"FGDC",1973,32
"FGDC",1974,21
"FGDC",1975,29
"FGDC",1976,28
"FGDC",1977,26
"FGDC",1978,34
"FGDC",1979,30
"FGDC",1980,34
"FGDC",1981,27
"FGDC",1982,32
"FGDC",1983,33
"FGDC",1984,29
"FGDC",1985,25
"FGDC",1986,35
"FGDC",1987,36
"FGDC",1988,28
"FGDC",1989,34
"FGDC",1990,37
"FGDC",1991,23
"FGDC",1992,28
"FGDC",1993,33
"FGDC",1994,31
"FGDC",1995,33
"FGDC",1996,44
"FGDC",1997,44
"FGDC",1998,275
"FGDC",1999,74
"FGDC",2000,65
"FGDC",2001,82
"FGDC",2002,183
"FGDC",2003,535
"FGDC",2004,891
"FGDC",2005,704
"FGDC",2006,886
"FGDC",2007,1314
"FGDC",2008,1598
"FGDC",2009,1186
"FGDC",2010,1880
"FGDC",2011,2805
"FGDC",2012,3048
"FGDC",2013,1466
"FGDC",2014,2676
"FGDC",2015,5831
"FGDC",2030,6
"FGDC",2104,1
"FGDC",8888,1
"FGDC",9999,1
"ISO",1900,1
"ISO",1986,2
"ISO",1990,2
"ISO",1992,2
"ISO",1993,3
"ISO",1994,1
"ISO",1996,2
"ISO",1997,4
"ISO",1998,119
"ISO",1999,13
"ISO",2000,13
"ISO",2001,22
"ISO",2002,37
"ISO",2003,52
"ISO",2004,51
"ISO",2005,118
"ISO",2006,195
"ISO",2007,219
"ISO",2008,304
"ISO",2009,303
"ISO",2010,342
"ISO",2011,360
"ISO",2012,1692
"ISO",2013,1771
"ISO",2014,4459
"ISO",2015,3771
"ISO",2030,6
"ISO",2040,1
"ISO",2104,1
"ISO",9999,266
"ISO",,5557
