"element_value","num_elems"
"clip",12
"DAP",18
"directRead",53
"EEA:FILEPATH",1
"ERDDAP:griddap",81
"ERDDAP:tabledap",43
"ESRI",26
"ESRI:MAP-1.0-rest-get-open",2
"file",2
"ftp",118
"FTP",302
"http",1744
"HTTP",1130
"HTTP/1.1",33
"HTTP-DOWNLOAD",2
"https",124
"KML",1
"NOAA:LAS",68
"OGC:WCS",1
"OGC:WFS",29
"OGC:WFS-1.0.0-http-get-feature",2
"OGC:WFS-2.0.0-http-get-capabilities",14
"OGC:WFS-2.0.0-http-get-map",1
"OGC:wms",7
"OGC:WMS",21
"OGC:WMS-1.1.0-http-get-map",1
"OGC:WMS-1.1.1-http-get-map",72
"OGC:WMS-1.3.0-http-get-capabilities",17
"OGC:WMS-1.3.0-http-get-map",43
"OGC:WMTS-1.0.0-http-get-capabilities",3
"OPENDaP",1
"order",1636
"read",88
"THREDDS",19
"urn:ogc:serviceType:WebMapService:1.1.1:HTTP",2
"WWW:DOWNLOAD-1.0-ftp--download",1
"WWW:DOWNLOAD-1.0-http--download",189
"WWW:LINK",330
"WWW:LINK-1.0-http--link",1532
"WWW:LINK-1.0-http--link--download",60
"WWW:LINK-1.0-http--related",286
