"protocol","host","count_w_doi","pct_w_doi_per_host","total_responses_per_host","pct_w_doi_per_protocol","total_responses_per_protocol"
"FGDC","astropedia.astrogeology.usgs.gov",35,97.22,36,0.13,26299
"FGDC","water.usgs.gov",65,11.55,563,0.25,26299
"FGDC","www.nodc.noaa.gov",4,10.53,38,0.02,26299
"FGDC","sofia.usgs.gov",20,8.89,225,0.08,26299
"FGDC","woodshole.er.usgs.gov",37,7.12,520,0.14,26299
"FGDC","data.usgs.gov",51,5.82,877,0.19,26299
"FGDC","pubs.usgs.gov",123,4.43,2778,0.47,26299
"FGDC","mslapps.mt.gov",6,3.08,195,0.02,26299
"FGDC","edg.epa.gov",3,2.27,132,0.01,26299
"FGDC","www.ncddc.noaa.gov",1,1.75,57,0.00,26299
"FGDC","arcticlcc.org",1,1.56,64,0.00,26299
"FGDC","inport.nmfs.noaa.gov",9,1.44,625,0.03,26299
"FGDC","catalog.data.gov",27,0.89,3043,0.10,26299
"FGDC","mrdata.usgs.gov",2,0.32,618,0.01,26299
"FGDC","www.coris.noaa.gov",1,0.24,425,0.00,26299
"FGDC","www.usgs.gov",2,0.18,1108,0.01,26299
"ISO","data-search.nerc.ac.uk",104,15.12,688,0.53,19689
"ISO","www.ngdc.noaa.gov",65,6.55,992,0.33,19689
"ISO","www.aoncadis.org",2,6.45,31,0.01,19689
"ISO","data.noaa.gov",66,5.31,1244,0.34,19689
"ISO","catalog.data.gov",150,3.07,4890,0.76,19689
"ISO","portal.oceannet.org",2,1.92,104,0.01,19689
"ISO","inport.nmfs.noaa.gov",11,1.42,776,0.06,19689
"ISO","www.coris.noaa.gov",3,1.14,263,0.02,19689
"ISO","www.usgs.gov",5,0.43,1156,0.03,19689
"OAI-PMH","www.openaccessrepository.it",16,100.00,16,0.85,1882
"OAI-PMH","oai.datacite.org",37,97.37,38,1.97,1882
"OAI-PMH","zenodo.org",16,94.12,17,0.85,1882
"OAI-PMH","nsidc.org",42,89.36,47,2.23,1882
"OAI-PMH","archiv.ub.uni-marburg.de",6,46.15,13,0.32,1882
"OAI-PMH","mercury.ornl.gov",30,43.48,69,1.59,1882
"OAI-PMH","www.polardata.ca",5,35.71,14,0.27,1882
"OAI-PMH","drtc.isibang.ac.in",8,4.85,165,0.43,1882
"OAI-PMH","openknowledge.worldbank.org",1,3.13,32,0.05,1882
"OAI-PMH","oai.narcis.nl",11,1.83,600,0.58,1882
"OPeNDAP","ladsweb.nascom.nasa.gov",19,42.22,45,1.41,1348
"OPeNDAP","acdisc.sci.gsfc.nasa.gov",100,35.84,279,7.42,1348
"OPeNDAP","acdisc.gsfc.nasa.gov",4,0.51,785,0.30,1348
"OpenSearch:Resultset","gcmd.nasa.gov",1,1.47,68,0.11,874
"OpenSearch:Resultset","globalchange.nasa.gov",1,1.01,99,0.11,874
"OpenSearch:Resultset","gcmd.gsfc.nasa.gov",1,0.34,293,0.11,874
"OpenSearch:Resultset","www.sciencebase.gov",1,0.30,337,0.11,874
