"num_responses","last_x"
15079,"CI_RoleCode"
12001,"MD_ScopeCode"
9950,"CI_DateTypeCode"
8229,"MD_MaintenanceFrequencyCode"
7061,"MD_KeywordTypeCode"
6657,"CI_OnLineFunctionCode"
4828,"MD_CharacterSetCode"
3792,"DS_AssociationTypeCode"
3614,"MD_RestrictionCode"
3145,"MD_ProgressCode"
1946,"LanguageCode"
1769,"SV_CouplingType"
1738,"DS_InitiativeTypeCode"
1606,"MD_DimensionNameTypeCode"
1268,"MD_CoverageContentTypeCode"
1068,"MD_CellGeometryCode"
369,"CI_PresentationFormCode"
241,"MD_SpatialRepresentationTypeCode"
139,"MD_ClassificationCode"
78,"MD_GeometricObjectTypeCode"
28,"MD_MediumNameCode"
25,"MX_ScopeCode"
13,"DCPList"
12,"MD_MediumFormatCode"
8,"Country"
7,"CI_onLineFunctionCode"
5,"MD_TopologyLevelCode"
5,"MI_OperationTypeCode"
3,"GC_Security_Classification_TypeCode"
3,"fileType"
3,"EC_Program_TypeCode"
3,"EC_Directorate_TypeCode"
3,"EC_Branch_TypeCode"
3,"SDN_CountryCode"
3,"SDN_DeviceCategoryCode"
3,"SDN_HierarchyLevelNameCode"
3,"SDN_ParameterDiscoveryCode"
3,"SDN_PlatformCategoryCode"
2,"SDN_FormatNameCode"
2,"SDN_CRSCode"
1,"SDN_EDMEDCode"
1,"SDN_PortCode"
1,"SDN_MarsdenCode"
1,"SDN_WaterBodyCode"
1,"MD_TopicCategoryCode"
1,"DQ_EvaluationMethodTypeCode"
1,"SDN_CSRCode"
1,"SDN_DataCategoryCode"
1,"SDN_CSRUnitCode"
1,"SDN_PlatformCode"
