"host","date_bin"
"upwell.pfeg.noaa.gov","2015-07-01"
"upwell.pfeg.noaa.gov","2015-08-01"
"upwell.pfeg.noaa.gov","2015-09-01"
"oos.soest.hawaii.edu","2015-06-01"
"oos.soest.hawaii.edu","2015-07-01"
"oos.soest.hawaii.edu","2015-08-01"
"oos.soest.hawaii.edu","2015-09-01"
"ecowatch.ncddc.noaa.gov","2015-07-01"
"ecowatch.ncddc.noaa.gov","2015-08-01"
"ecowatch.ncddc.noaa.gov","2015-09-01"
"data.nanoos.org","2015-07-01"
"data.nanoos.org","2015-08-01"
"coastwatch.pfeg.noaa.gov","2015-06-01"
"coastwatch.pfeg.noaa.gov","2015-07-01"
"coastwatch.pfeg.noaa.gov","2015-08-01"
"coastwatch.pfeg.noaa.gov","2015-09-01"
"catalog.data.gov","2011-11-01"
"catalog.data.gov","2012-10-01"
"catalog.data.gov","2012-11-01"
"bluehub.jrc.ec.europa.eu","2015-06-01"
"bluehub.jrc.ec.europa.eu","2015-07-01"
"bluehub.jrc.ec.europa.eu","2015-08-01"
"bluehub.jrc.ec.europa.eu","2015-09-01"
