"value","count"
"http://a9.com/-/spec/opensearch/1.1/",4614
"http://www.w3.org/XML/1998/namespace",4608
"http://www.mozilla.org/2006/browser/search/",1053
"http://a9.com/-/opensearch/extensions/geo/1.0/",69
"http://a9.com/-/opensearch/extensions/time/1.0/",32
"http://www.w3.org/2001/XMLSchema",19
"http://www.w3.org/2001/XMLSchema-instance",19
"http:/www.mozilla.org/2006/browser/search/",10
"http://modwebsrv.modaps.eosdis.nasa.gov/opensearchextensions/1.0/",9
"http://a9.com/-/opensearch/extensions/referrer/",8
"http://nsidc.org/ns/opensearch/1.1/",7
"http://a9.com/-/spec/opensearch/extensions/parameters/1.0/",6
"http://purl.org/dc/elements/1.1/",6
"http://schemas.microsoft.com/Search/2008/",4
"http://chroniclingamerica.loc.gov",2
"http://genshi.edgewall.org/",2
"http://www.worldcat.org/devnet/wiki/SearchAPIDetails",2
"http://a9.com/-/opensearch/extensions/eumetsat/1.0/",1
"http://a9.com/-/opensearch/extensions/sru/2.0/",1
"http://alien.jrc.ec.europa.eu/species",1
"http://dclite4g.xmlns.com/ws.rdf#",1
"http://earth.esa.int/sar",1
"http://example.com/opensearchextensions/1.0/",1
"http://podaac.jpl.nasa.gov/opensearch/",1
"http://purl.org/dc/terms/",1
"http://www.alfresco.org",1
"http://www.genesi-dr.eu/spec/opensearch/extensions/eop/1.0/",1
"http://www.hospitalsdatabase.lshtm.ac.uk/opensearch/",1
"http://www.opensearch.org/specifications/opensearch/extensions/suggestions/1.1",1
"http://www.w3.org/1999/02/22-rdf-syntax-ns#",1
"http://www.w3.org/2002/12/cal/ical#",1
"http://www.w3.org/2005/Atom",1
"http://xmlns.com/2008/dclite4g#",1
